"","order_id","order_date","ship_mode","segment","country","city","state","postal_code","region","category","sub_category","product_id","cost_price","list_price","quantity","discount_percent","discount","sale_price","profit"
"15",15,"2023-11-09","","Home Office","United States","Fort Worth","Texas",76106,"Central","Office Supplies","Appliances","OFF-AP-10002311",60,70,5,5,3.5,66.5,6.5
"16",16,"2022-06-18","Standard Class","Home Office","United States","Fort Worth","Texas",76106,"Central","Office Supplies","Binders","OFF-BI-10000756",0,0,3,5,0,0,0
"17",17,"2022-02-04","Standard Class","Consumer","United States","Madison","Wisconsin",53711,"Central","Office Supplies","Storage","OFF-ST-10004186",610,670,6,3,20.1,649.9,39.9
"18",18,"2023-08-04","Second Class","Consumer","United States","West Jordan","Utah",84084,"West","Office Supplies","Storage","OFF-ST-10000107",60,60,2,4,2.4,57.6,-2.4
"19",19,"2022-01-23","Second Class","Consumer","United States","San Francisco","California",94109,"West","Office Supplies","Art","OFF-AR-10003056",10,10,2,4,0.4,9.6,-0.4
"20",20,"2022-01-11","Second Class","Consumer","United States","San Francisco","California",94109,"West","Technology","Phones","TEC-PH-10001949",170,210,3,3,6.3,203.7,33.7
"21",21,"2022-10-05","Second Class","Consumer","United States","San Francisco","California",94109,"West","Office Supplies","Binders","OFF-BI-10002215",20,20,4,2,0.4,19.6,-0.4
"22",22,"2023-07-16","Standard Class","Corporate","United States","Fremont","Nebraska",68025,"Central","Office Supplies","Art","OFF-AR-10000246",20,20,7,4,0.8,19.2,-0.8
"23",23,"2023-05-06","Standard Class","Corporate","United States","Fremont","Nebraska",68025,"Central","Office Supplies","Appliances","OFF-AP-10001492",50,60,7,3,1.8,58.2,8.2
"24",24,"2023-05-21","Second Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Furniture","Chairs","FUR-CH-10002774",60,70,2,4,2.8,67.2,7.2
"25",25,"2023-02-24","Standard Class","Consumer","United States","Orem","Utah",84057,"West","Furniture","Tables","FUR-TA-10000577",900,1040,3,5,52,988,88
"26",26,"2022-06-20","Second Class","Consumer","United States","Los Angeles","California",90049,"West","Office Supplies","Binders","OFF-BI-10001634",10,10,2,5,0.5,9.5,-0.5
"27",27,"2022-02-08","Second Class","Consumer","United States","Los Angeles","California",90049,"West","Technology","Accessories","TEC-AC-10003027",80,90,3,3,2.7,87.3,7.3
"28",28,"2023-12-11","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Furniture","Bookcases","FUR-BO-10004834",2740,3080,7,3,92.4,2987.6,247.6
"29",29,"2022-08-21","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Office Supplies","Binders","OFF-BI-10000474",10,10,2,5,0.5,9.5,-0.5
"30",30,"2022-08-14","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Furniture","Furnishings","FUR-FU-10004848",100,120,3,4,4.8,115.2,15.2
"31",31,"2022-11-20","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Office Supplies","Envelopes","OFF-EN-10001509",0,0,2,5,0,0,0
"32",32,"2023-01-19","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Office Supplies","Art","OFF-AR-10004042",70,90,6,4,3.6,86.4,16.4
"33",33,"2023-01-30","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Office Supplies","Binders","OFF-BI-10001525",10,10,6,5,0.5,9.5,-0.5
"34",34,"2022-06-03","Standard Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Office Supplies","Art","OFF-AR-10001683",20,20,2,4,0.8,19.2,-0.8
"35",35,"2022-09-28","Second Class","Home Office","United States","Houston","Texas",77095,"Central","Office Supplies","Paper","OFF-PA-10000249",30,30,3,3,0.9,29.1,-0.9
"36",36,"2022-10-30","First Class","Corporate","United States","Richardson","Texas",75080,"Central","Technology","Phones","TEC-PH-10004977",1020,1100,7,5,55,1045,25
"37",37,"2023-07-27","First Class","Corporate","United States","Richardson","Texas",75080,"Central","Furniture","Furnishings","FUR-FU-10003664",180,190,5,4,7.6,182.4,2.4
"38",38,"2023-03-07","Standard Class","Home Office","United States","Houston","Texas",77041,"Central","Office Supplies","Envelopes","OFF-EN-10002986",90,110,9,2,2.2,107.8,17.8
"39",39,"2023-08-18","Standard Class","Home Office","United States","Houston","Texas",77041,"Central","Furniture","Bookcases","FUR-BO-10002545",460,530,3,2,10.6,519.4,59.4
"40",40,"2022-01-20","Standard Class","Home Office","United States","Houston","Texas",77041,"Central","Furniture","Chairs","FUR-CH-10004218",200,210,3,2,4.2,205.8,5.8
"41",41,"2023-06-29","Standard Class","Home Office","United States","Houston","Texas",77041,"Central","Technology","Phones","TEC-PH-10000486",350,370,4,5,18.5,351.5,1.5
"42",42,"2022-06-28","Standard Class","Corporate","United States","Naperville","Illinois",60540,"Central","Technology","Phones","TEC-PH-10004093",140,150,4,3,4.5,145.5,5.5
"43",43,"2023-02-09","Standard Class","Corporate","United States","Los Angeles","California",90049,"West","Office Supplies","Storage","OFF-ST-10003479",70,80,2,5,4,76,6
"44",44,"2023-09-18","Standard Class","Corporate","United States","Melbourne","Florida",32935,"South","Office Supplies","Storage","OFF-ST-10003282",90,100,2,4,4,96,6
"45",45,"2022-11-11","First Class","Corporate","United States","Eagan","Minnesota",55122,"Central","Technology","Accessories","TEC-AC-10000171",40,50,2,2,1,49,9
"46",46,"2022-05-27","First Class","Corporate","United States","Eagan","Minnesota",55122,"Central","Office Supplies","Binders","OFF-BI-10003291",20,20,2,5,1,19,-1
"47",47,"2023-02-03","Second Class","Consumer","United States","Westland","Michigan",48185,"Central","Office Supplies","Storage","OFF-ST-10001713",180,210,4,4,8.4,201.6,21.6
"48",48,"2022-02-16","Standard Class","Consumer","United States","Dover","Delaware",19901,"East","Technology","Accessories","TEC-AC-10002167",50,50,3,5,2.5,47.5,-2.5
"49",49,"2022-05-06","Standard Class","Consumer","United States","Dover","Delaware",19901,"East","Technology","Phones","TEC-PH-10003988",20,20,2,4,0.8,19.2,-0.8
"50",50,"2023-06-18","Standard Class","Consumer","United States","New Albany","Indiana",47150,"Central","Office Supplies","Binders","OFF-BI-10004410",30,40,6,4,1.6,38.4,8.4
"51",51,"2022-01-11","Standard Class","Consumer","United States","New Albany","Indiana",47150,"Central","Office Supplies","Labels","OFF-LA-10002762",70,80,6,4,3.2,76.8,6.8
"52",52,"2023-09-09","Standard Class","Consumer","United States","New Albany","Indiana",47150,"Central","Furniture","Furnishings","FUR-FU-10001706",10,10,2,4,0.4,9.6,-0.4
"53",53,"2022-01-31","Standard Class","Consumer","United States","New Albany","Indiana",47150,"Central","Furniture","Chairs","FUR-CH-10003061",70,90,1,5,4.5,85.5,15.5
"54",54,"2023-07-30","Standard Class","Corporate","United States","New York City","New York",10024,"East","Office Supplies","Fasteners","OFF-FA-10000304",20,20,7,3,0.6,19.4,-0.6
"55",55,"2023-10-17","Standard Class","Corporate","United States","New York City","New York",10024,"East","Technology","Phones","TEC-PH-10002447",850,1030,5,4,41.2,988.8,138.8
"56",56,"2023-07-06","First Class","Consumer","United States","Troy","New York",12180,"East","Office Supplies","Storage","OFF-ST-10000604",200,210,6,5,10.5,199.5,-0.5
"57",57,"2023-09-15","First Class","Consumer","United States","Troy","New York",12180,"East","Office Supplies","Paper","OFF-PA-10001569",30,30,5,5,1.5,28.5,-1.5
"58",58,"2022-08-09","First Class","Consumer","United States","Troy","New York",12180,"East","Furniture","Chairs","FUR-CH-10003968",290,320,5,2,6.4,313.6,23.6
"59",59,"2022-04-05","First Class","Consumer","United States","Troy","New York",12180,"East","Office Supplies","Paper","OFF-PA-10000587",10,10,2,4,0.4,9.6,-0.4
"60",60,"2023-06-24","First Class","Consumer","United States","Troy","New York",12180,"East","Technology","Accessories","TEC-AC-10002167",20,30,2,5,1.5,28.5,8.5
"61",61,"2022-03-10","First Class","Consumer","United States","Troy","New York",12180,"East","Office Supplies","Binders","OFF-BI-10001460",40,50,4,2,1,49,9
"62",62,"2023-04-08","First Class","Consumer","United States","Troy","New York",12180,"East","Office Supplies","Art","OFF-AR-10001868",0,0,1,5,0,0,0
"63",63,"2023-10-16","Standard Class","Consumer","United States","Los Angeles","California",90004,"West","Technology","Accessories","TEC-AC-10004633",10,10,2,3,0.3,9.7,-0.3
"64",64,"2023-08-02","Standard Class","Consumer","United States","Los Angeles","California",90004,"West","Office Supplies","Binders","OFF-BI-10001078",20,30,6,2,0.6,29.4,9.4
"65",65,"2022-11-05","Standard Class","Consumer","United States","Los Angeles","California",90004,"West","Office Supplies","Paper","OFF-PA-10003892",130,150,3,5,7.5,142.5,12.5
"66",66,"2022-05-06","Standard Class","Consumer","United States","Los Angeles","California",90004,"West","Furniture","Furnishings","FUR-FU-10000397",70,80,4,2,1.6,78.4,8.4
"67",67,"2022-03-26","Standard Class","Home Office","United States","Chicago","Illinois",60610,"Central","Furniture","Chairs","FUR-CH-10001146",180,210,5,5,10.5,199.5,19.5
"68",68,"2022-04-10","Standard Class","Corporate","United States","Gilbert","Arizona",85234,"West","Office Supplies","Art","OFF-AR-10002671",940,1110,8,3,33.3,1076.7,136.7
"69",69,"2022-08-12","Standard Class","Corporate","United States","Gilbert","Arizona",85234,"West","Technology","Phones","TEC-PH-10002726",160,170,4,3,5.1,164.9,4.9
"70",70,"2022-02-25","First Class","Consumer","United States","Springfield","Virginia",22153,"South","Office Supplies","Paper","OFF-PA-10000482",70,80,2,2,1.6,78.4,8.4
"71",71,"2022-11-29","Standard Class","Consumer","United States","New York City","New York",10009,"East","Office Supplies","Binders","OFF-BI-10004654",0,0,1,3,0,0,0
"72",72,"2022-12-18","Second Class","Consumer","United States","Jackson","Michigan",49201,"Central","Office Supplies","Paper","OFF-PA-10004675",20,20,3,3,0.6,19.4,-0.6
"73",73,"2023-03-07","Standard Class","Consumer","United States","Memphis","Tennessee",38109,"South","Furniture","Chairs","FUR-CH-10000513",790,830,8,2,16.6,813.4,23.4
"74",74,"2023-07-12","Standard Class","Consumer","United States","Memphis","Tennessee",38109,"South","Furniture","Furnishings","FUR-FU-10003708",90,100,2,3,3,97,7
"75",75,"2022-10-21","Standard Class","Consumer","United States","Memphis","Tennessee",38109,"South","Office Supplies","Storage","OFF-ST-10004123",60,70,1,2,1.4,68.6,8.6
"76",76,"2023-04-17","First Class","Corporate","United States","Houston","Texas",77041,"Central","Office Supplies","Binders","OFF-BI-10004182",0,0,3,4,0,0,0
"77",77,"2023-05-20","First Class","Corporate","United States","Houston","Texas",77041,"Central","Furniture","Furnishings","FUR-FU-10000260",10,10,3,4,0.4,9.6,-0.4
"78",78,"2023-05-13","First Class","Corporate","United States","Houston","Texas",77041,"Central","Office Supplies","Storage","OFF-ST-10000615",20,30,3,2,0.6,29.4,9.4
"79",79,"2022-10-20","Second Class","Consumer","United States","Houston","Texas",77070,"Central","Furniture","Furnishings","FUR-FU-10003194",20,20,5,2,0.4,19.6,-0.4
"80",80,"2023-10-22","First Class","Corporate","United States","Decatur","Alabama",35601,"South","Office Supplies","Appliances","OFF-AP-10002118",190,210,1,3,6.3,203.7,13.7
"81",81,"2022-07-20","First Class","Corporate","United States","Decatur","Alabama",35601,"South","Office Supplies","Binders","OFF-BI-10002309",20,20,3,2,0.4,19.6,-0.4
"82",82,"2022-11-16","Standard Class","Consumer","United States","San Francisco","California",94122,"West","Office Supplies","Art","OFF-AR-10002053",10,10,5,5,0.5,9.5,-0.5
"83",83,"2022-11-10","Standard Class","Consumer","United States","San Francisco","California",94122,"West","Office Supplies","Storage","OFF-ST-10002370",20,20,1,4,0.8,19.2,-0.8
"84",84,"2022-03-15","Standard Class","Corporate","United States","Durham","North Carolina",27707,"South","Office Supplies","Envelopes","OFF-EN-10000927",180,200,7,3,6,194,14
"85",85,"2023-10-03","First Class","Home Office","United States","Chicago","Illinois",60623,"Central","Office Supplies","Storage","OFF-ST-10003656",210,230,3,2,4.6,225.4,15.4
"86",86,"2022-03-20","Second Class","Consumer","United States","Columbia","South Carolina",29203,"South","Furniture","Chairs","FUR-CH-10000863",260,300,2,5,15,285,25
"87",87,"2023-12-04","Standard Class","Consumer","United States","Rochester","Minnesota",55901,"Central","Technology","Accessories","TEC-AC-10001998",20,20,1,5,1,19,-1
"88",88,"2023-11-24","Standard Class","Consumer","United States","Rochester","Minnesota",55901,"Central","Office Supplies","Labels","OFF-LA-10000134",10,10,2,5,0.5,9.5,-0.5
"89",89,"2023-12-30","Second Class","Home Office","United States","Houston","Texas",77095,"Central","Office Supplies","Storage","OFF-ST-10003442",140,160,7,5,8,152,12
"90",90,"2022-05-23","Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Office Supplies","Art","OFF-AR-10004930",20,20,3,2,0.4,19.6,-0.4
"91",91,"2023-04-06","Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Technology","Phones","TEC-PH-10004093",60,70,2,2,1.4,68.6,8.6
"92",92,"2022-03-23","Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Office Supplies","Paper","OFF-PA-10000304",10,10,1,2,0.2,9.8,-0.2
"93",93,"2023-04-07","Second Class","Consumer","United States","Minneapolis","Minnesota",55407,"Central","Office Supplies","Paper","OFF-PA-10003177",10,10,2,2,0.2,9.8,-0.2
"94",94,"2022-05-13","Second Class","Consumer","United States","Minneapolis","Minnesota",55407,"Central","Furniture","Furnishings","FUR-FU-10003799",50,50,3,5,2.5,47.5,-2.5
"95",95,"2022-04-23","Second Class","Consumer","United States","Minneapolis","Minnesota",55407,"Central","Office Supplies","Binders","OFF-BI-10002852",20,30,2,3,0.9,29.1,9.1
"96",96,"2023-12-17","Standard Class","Home Office","United States","Portland","Oregon",97206,"West","Office Supplies","Binders","OFF-BI-10004738",10,10,1,2,0.2,9.8,-0.2
"97",97,"2022-04-28","Second Class","Home Office","United States","New York City","New York",10009,"East","Furniture","Furnishings","FUR-FU-10000629",80,100,7,5,5,95,15
"98",98,"2023-06-14","First Class","Consumer","United States","San Francisco","California",94122,"West","Office Supplies","Binders","OFF-BI-10001721",40,50,3,4,2,48,8
"99",99,"2023-02-05","Standard Class","Corporate","United States","Saint Paul","Minnesota",55106,"Central","Office Supplies","Appliances","OFF-AP-10000358",70,80,6,3,2.4,77.6,7.6
"100",100,"2023-12-30","Standard Class","Home Office","United States","Chicago","Illinois",60610,"Central","Office Supplies","Paper","OFF-PA-10003256",60,60,7,3,1.8,58.2,-1.8
"101",101,"2022-02-24","Standard Class","Home Office","United States","Chicago","Illinois",60610,"Central","Technology","Accessories","TEC-AC-10001767",80,100,3,5,5,95,15
"102",102,"2022-07-25","Standard Class","Home Office","United States","Chicago","Illinois",60610,"Central","Office Supplies","Binders","OFF-BI-10002609",0,0,3,3,0,0,0
"103",103,"2022-01-14","Second Class","Consumer","United States","Rochester","Minnesota",55901,"Central","Office Supplies","Paper","OFF-PA-10004040",20,20,4,4,0.8,19.2,-0.8
"104",104,"2022-12-22","Standard Class","Consumer","United States","Aurora","Colorado",80013,"West","Technology","Accessories","TEC-AC-10001552",220,240,6,3,7.2,232.8,12.8
"105",105,"2022-06-09","Standard Class","Consumer","United States","Aurora","Colorado",80013,"West","Furniture","Furnishings","FUR-FU-10004006",90,100,3,5,5,95,5
"106",106,"2023-10-28","Standard Class","Consumer","United States","Aurora","Colorado",80013,"West","Office Supplies","Binders","OFF-BI-10002794",30,40,3,5,2,38,8
"107",107,"2022-10-18","Standard Class","Consumer","United States","Charlotte","North Carolina",28205,"South","Technology","Accessories","TEC-AC-10003499",60,70,8,5,3.5,66.5,6.5
"108",108,"2022-11-23","Standard Class","Consumer","United States","Charlotte","North Carolina",28205,"South","Technology","Phones","TEC-PH-10002844",30,30,1,3,0.9,29.1,-0.9
"109",109,"2023-10-12","Standard Class","Consumer","United States","Charlotte","North Carolina",28205,"South","Office Supplies","Art","OFF-AR-10000390",0,0,1,3,0,0,0
"110",110,"2023-03-17","Standard Class","Home Office","United States","Orland Park","Illinois",60462,"Central","Technology","Accessories","TEC-AC-10000844",290,340,5,2,6.8,333.2,43.2
"111",111,"2023-09-05","Standard Class","Corporate","United States","New York City","New York",10035,"East","Furniture","Furnishings","FUR-FU-10001934",30,40,2,2,0.8,39.2,9.2
"112",112,"2022-01-28","Standard Class","Consumer","United States","Urbandale","Iowa",50322,"Central","Office Supplies","Art","OFF-AR-10000380",70,80,2,3,2.4,77.6,7.6
"113",113,"2022-12-26","Standard Class","Consumer","United States","Urbandale","Iowa",50322,"Central","Office Supplies","Binders","OFF-BI-10003981",30,30,6,3,0.9,29.1,-0.9
"114",114,"2023-06-06","Second Class","Consumer","United States","Columbus","Ohio",43229,"East","Office Supplies","Fasteners","OFF-FA-10000621",40,40,14,2,0.8,39.2,-0.8
"115",115,"2023-11-08","Second Class","Consumer","United States","Columbus","Ohio",43229,"East","Office Supplies","Envelopes","OFF-EN-10002600",0,0,2,4,0,0,0
"116",116,"2022-11-15","Second Class","Consumer","United States","Columbus","Ohio",43229,"East","Office Supplies","Paper","OFF-PA-10004965",20,20,3,4,0.8,19.2,-0.8
"117",117,"2022-06-30","Second Class","Consumer","United States","Columbus","Ohio",43229,"East","Office Supplies","Envelopes","OFF-EN-10002504",120,130,6,5,6.5,123.5,3.5
"118",118,"2023-10-27","Standard Class","Consumer","United States","Seattle","Washington",98103,"West","Furniture","Tables","FUR-TA-10001768",720,790,3,4,31.6,758.4,38.4
"119",119,"2023-07-19","","Corporate","United States","Bristol","Tennessee",37620,"South","Office Supplies","Binders","OFF-BI-10003650",140,160,1,5,8,152,12
"120",120,"2023-03-30","First Class","Consumer","United States","Wilmington","Delaware",19805,"East","Furniture","Furnishings","FUR-FU-10002157",50,50,3,3,1.5,48.5,-1.5
"121",121,"2022-03-03","First Class","Consumer","United States","Wilmington","Delaware",19805,"East","Office Supplies","Binders","OFF-BI-10003910",20,30,4,2,0.6,29.4,9.4
"122",122,"2022-10-20","First Class","Consumer","United States","Wilmington","Delaware",19805,"East","Office Supplies","Storage","OFF-ST-10000777",190,230,6,2,4.6,225.4,35.4
"123",123,"2023-01-23","First Class","Consumer","United States","Wilmington","Delaware",19805,"East","Office Supplies","Envelopes","OFF-EN-10002500",110,120,9,4,4.8,115.2,5.2
"124",124,"2023-01-21","First Class","Consumer","United States","Wilmington","Delaware",19805,"East","Technology","Phones","TEC-PH-10003875",60,70,7,2,1.4,68.6,8.6
"125",125,"2023-07-18","Second Class","Home Office","United States","Houston","Texas",77041,"Central","Furniture","Chairs","FUR-CH-10004063",550,600,3,3,18,582,32
"126",126,"2023-07-15","Standard Class","Consumer","United States","Bloomington","Illinois",61701,"Central","Furniture","Tables","FUR-TA-10004534",540,620,6,4,24.8,595.2,55.2
"127",127,"2022-07-14","Standard Class","Consumer","United States","Phoenix","Arizona",85023,"West","Office Supplies","Binders","OFF-BI-10003274",0,0,2,4,0,0,0
"128",128,"2023-03-30","Standard Class","Consumer","United States","Phoenix","Arizona",85023,"West","Office Supplies","Storage","OFF-ST-10002974",200,240,7,4,9.6,230.4,30.4
"129",129,"2023-09-18","Second Class","Home Office","United States","Los Angeles","California",90004,"West","Furniture","Chairs","FUR-CH-10001146",70,80,2,2,1.6,78.4,8.4
"130",130,"2022-01-03","Second Class","Home Office","United States","Los Angeles","California",90004,"West","Furniture","Furnishings","FUR-FU-10003773",220,240,3,4,9.6,230.4,10.4
"131",131,"2022-07-17","First Class","Corporate","United States","Columbus","Ohio",43229,"East","Technology","Phones","TEC-PH-10002293",50,60,5,3,1.8,58.2,8.2
"132",132,"2022-03-30","First Class","Corporate","United States","Columbus","Ohio",43229,"East","Office Supplies","Paper","OFF-PA-10002377",80,80,2,4,3.2,76.8,-3.2
"133",133,"2022-05-01","First Class","Corporate","United States","Columbus","Ohio",43229,"East","Office Supplies","Fasteners","OFF-FA-10002780",20,20,9,5,1,19,-1
"134",134,"2023-04-29","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Paper","OFF-PA-10001804",20,20,3,4,0.8,19.2,-0.8
"135",135,"2022-10-28","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Paper","OFF-PA-10001736",30,40,1,5,2,38,8
"136",136,"2022-03-05","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Art","OFF-AR-10001149",10,10,4,5,0.5,9.5,-0.5
"137",137,"2022-03-28","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Fasteners","OFF-FA-10002988",0,0,2,5,0,0,0
"138",138,"2023-10-16","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Binders","OFF-BI-10004781",70,80,3,2,1.6,78.4,8.4
"139",139,"2022-05-15","Standard Class","Consumer","United States","Roseville","California",95661,"West","Office Supplies","Supplies","OFF-SU-10001218",60,70,6,5,3.5,66.5,6.5
"140",140,"2023-06-06","Standard Class","Consumer","United States","Roseville","California",95661,"West","Furniture","Furnishings","FUR-FU-10001706",40,40,14,2,0.8,39.2,-0.8
"141",141,"2022-06-10","Second Class","Corporate","United States","Philadelphia","Pennsylvania",19140,"East","Furniture","Furnishings","FUR-FU-10004848",60,80,2,2,1.6,78.4,18.4
"142",142,"2022-07-22","Standard Class","Corporate","United States","San Francisco","California",94122,"West","Office Supplies","Art","OFF-AR-10000940",10,10,3,3,0.3,9.7,-0.3
"143",143,"2023-12-27","Standard Class","Corporate","United States","San Francisco","California",94122,"West","Office Supplies","Envelopes","OFF-EN-10004030",10,10,3,2,0.2,9.8,-0.2
"144",144,"2023-11-29","Standard Class","Corporate","United States","San Francisco","California",94122,"West","Office Supplies","Paper","OFF-PA-10004327",130,140,3,5,7,133,3
"145",145,"2022-03-19","Standard Class","Consumer","United States","Independence","Missouri",64055,"Central","Office Supplies","Appliances","OFF-AP-10001058",780,840,3,2,16.8,823.2,43.2
"146",146,"2023-06-04","Standard Class","Consumer","United States","Pasadena","California",91104,"West","Office Supplies","Storage","OFF-ST-10003656",600,670,7,3,20.1,649.9,49.9
"147",147,"2023-05-31","Standard Class","Home Office","United States","Newark","Ohio",43055,"East","Furniture","Furnishings","FUR-FU-10000521",80,90,4,4,3.6,86.4,6.4
"148",148,"2022-06-12","Standard Class","Corporate","United States","Franklin","Wisconsin",53132,"Central","Technology","Phones","TEC-PH-10000215",350,380,11,4,15.2,364.8,14.8
"149",149,"2022-05-18","Standard Class","Corporate","United States","Franklin","Wisconsin",53132,"Central","Technology","Phones","TEC-PH-10001448",140,150,3,5,7.5,142.5,2.5
"150",150,"2022-01-23","Standard Class","Corporate","United States","Franklin","Wisconsin",53132,"Central","Furniture","Chairs","FUR-CH-10000454",1580,1950,8,3,58.5,1891.5,311.5
"151",151,"2023-08-21","Standard Class","Corporate","United States","Franklin","Wisconsin",53132,"Central","Office Supplies","Binders","OFF-BI-10002735",150,170,5,4,6.8,163.2,13.2
"152",152,"2023-08-31","First Class","Home Office","United States","Scottsdale","Arizona",85254,"West","Office Supplies","Appliances","OFF-AP-10000326",140,160,5,5,8,152,12
"153",153,"2022-10-25","First Class","Home Office","United States","Scottsdale","Arizona",85254,"West","Technology","Phones","TEC-PH-10001254",160,200,2,2,4,196,36
"154",154,"2022-10-07","First Class","Corporate","United States","San Jose","California",95123,"West","Office Supplies","Paper","OFF-PA-10001950",50,60,7,4,2.4,57.6,7.6
"155",155,"2023-03-25","First Class","Corporate","United States","San Jose","California",95123,"West","Office Supplies","Paper","OFF-PA-10002254",100,110,4,4,4.4,105.6,5.6
"156",156,"2023-03-27","First Class","Corporate","United States","San Jose","California",95123,"West","Office Supplies","Storage","OFF-ST-10001590",60,80,6,4,3.2,76.8,16.8
"157",157,"2022-05-03","Standard Class","Home Office","United States","Seattle","Washington",98105,"West","Office Supplies","Art","OFF-AR-10001547",10,10,3,3,0.3,9.7,-0.3
"158",158,"2022-05-18","Second Class","Consumer","United States","Seattle","Washington",98115,"West","Furniture","Chairs","FUR-CH-10004063",380,460,2,2,9.2,450.8,70.8
"159",159,"2022-04-25","Standard Class","Consumer","United States","Edmond","Oklahoma",73034,"Central","Office Supplies","Labels","OFF-LA-10002475",10,10,2,3,0.3,9.7,-0.3
"160",160,"2022-06-30","Standard Class","Consumer","United States","Edmond","Oklahoma",73034,"Central","Technology","Phones","TEC-PH-10004536",870,940,7,5,47,893,23
"161",161,"2022-01-10","First Class","Consumer","United States","Los Angeles","California",90045,"West","Office Supplies","Paper","OFF-PA-10002751",10,10,1,4,0.4,9.6,-0.4
"162",162,"2023-11-27","Second Class","Consumer","United States","Philadelphia","Pennsylvania",19134,"East","Technology","Accessories","TEC-AC-10003657",40,50,2,5,2.5,47.5,7.5
"163",163,"2022-02-16","Standard Class","Consumer","United States","Carlsbad","New Mexico",88220,"West","Office Supplies","Envelopes","OFF-EN-10001990",30,30,5,4,1.2,28.8,-1.2
"164",164,"2022-08-14","Standard Class","Consumer","United States","Seattle","Washington",98115,"West","Office Supplies","Binders","OFF-BI-10004002",20,30,2,3,0.9,29.1,9.1
"165",165,"2023-10-14","Standard Class","Consumer","United States","San Antonio","Texas",78207,"Central","Office Supplies","Art","OFF-AR-10004441",10,10,3,5,0.5,9.5,-0.5
"166",166,"2022-10-16","Standard Class","Consumer","United States","San Antonio","Texas",78207,"Central","Technology","Machines","TEC-MA-10000822",6850,8160,8,4,326.4,7833.6,983.6
"167",167,"2022-11-20","Standard Class","Consumer","United States","San Antonio","Texas",78207,"Central","Office Supplies","Storage","OFF-ST-10000991",250,280,3,4,11.2,268.8,18.8
